date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:48	121574/121574	---MCZ	200	added ('OK')	text/html	etag:W/%22c658775ea1227843cec32b78efded39a%22	https://tailwindcss.com/docs/installation	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/docs/installation.html	(from )
23:51:49	5182/5182	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22ac47918a3daf20883aacab60ec7c5e8f%22	https://tailwindcss.com/robots.txt		(from )
23:51:50	2745/2745	---M--	200	added ('OK')	image/png	etag:%22bf8d984d0cc109b49b09e0545f88c8ce%22	https://tailwindcss.com/favicons/apple-touch-icon.png?v=3	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/favicons/apple-touch-icon30f4.png	(from https://tailwindcss.com/docs/installation)
23:51:51	1348/1348	---M--	200	added ('OK')	image/png	etag:%22b43e9a78ed90cf9982be77940e44167f%22	https://tailwindcss.com/favicons/favicon-32x32.png?v=3	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/favicons/favicon-32x3230f4.png	(from https://tailwindcss.com/docs/installation)
23:51:51	781/781	---M--	200	added ('OK')	image/png	etag:%22f4ac06196368f02036a604a4312303af%22	https://tailwindcss.com/favicons/favicon-16x16.png?v=3	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/favicons/favicon-16x1630f4.png	(from https://tailwindcss.com/docs/installation)
23:51:52	301048/301048	---MCZ	200	added ('OK')	text/css	etag:W/%2273eae7762b7641ff66ed49e8e6b526a5%22	https://tailwindcss.com/_next/static/css/e7c43a1e0dc5e264.css	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/_next/static/css/e7c43a1e0dc5e264.css	(from https://tailwindcss.com/docs/installation)
23:51:52	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://tailwindcss.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://tailwindcss.com/docs/installation)
23:51:52	1607/1607	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba8eb4d158154263ed3054985a0919c4%22	https://tailwindcss.com/_next/static/chunks/webpack-cefddfb7403e4fd5.js	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/_next/static/chunks/webpack-cefddfb7403e4fd5.js	(from https://tailwindcss.com/docs/installation)
23:51:52	130088/130088	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5ba25e110bd9af3a6d1a66444dba41f%22	https://tailwindcss.com/_next/static/chunks/framework-f44ba79936f400b5.js	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/_next/static/chunks/framework-f44ba79936f400b5.js	(from https://tailwindcss.com/docs/installation)
23:51:53	105261/105261	---MCZ	200	added ('OK')	application/javascript	etag:W/%2233c7f47e8c2d317fc7401dec8cf4af35%22	https://tailwindcss.com/_next/static/chunks/main-97a8631521ccb481.js	C:/My%20Web%20Sites/Tailwind-CSS-DOCS/tailwindcss.com/_next/static/chunks/main-97a8631521ccb481.js	(from https://tailwindcss.com/docs/installation)
